elapsed_s,fc_raw_vx,fc_raw_vy,odom_vx,odom_vy,filt_vx,filt_vy,filt_px,filt_py,tf_px,tf_py,amcl_x,amcl_y,amcl_yaw,coupling_ratio
44.75,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.1904,-0.4491,-0.1904,-0.4491,-0.1205,-0.1693,-26.29,0.000000
45.25,0.0000,-0.0200,0.0000,-0.0200,-0.0000,0.0000,-0.1904,-0.4491,-0.1904,-0.4491,-0.1205,-0.1693,-26.29,0.000000
45.77,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.1904,-0.4565,-0.1904,-0.4565,-0.1205,-0.1693,-26.29,0.000000
46.27,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.1904,-0.4565,-0.1904,-0.4565,-0.1205,-0.1693,-26.29,0.000000
46.77,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.1904,-0.4565,-0.1904,-0.4565,-0.1205,-0.1693,-26.29,0.000000
47.27,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.1904,-0.4565,-0.1904,-0.4565,-0.1205,-0.1693,-26.29,0.000000
47.77,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.1904,-0.4565,-0.1904,-0.4565,-0.1205,-0.1693,-26.29,0.000000
48.27,0.0000,0.0100,0.0000,0.0000,-0.0000,0.0000,-0.1904,-0.4565,-0.1904,-0.4565,-0.1205,-0.1693,-26.29,0.000000
48.77,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.1904,-0.4565,-0.1904,-0.4565,-0.0983,-0.1929,-23.90,0.000000
49.27,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.1904,-0.4565,-0.1904,-0.4565,-0.0983,-0.1929,-23.90,0.000000
49.77,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,-0.1904,-0.4565,-0.1904,-0.4565,-0.0983,-0.1929,-23.90,0.000000
50.27,0.0000,0.1900,0.0000,0.1900,0.0049,-0.0359,-0.1884,-0.4599,-0.1884,-0.4599,-0.0983,-0.1929,-23.90,0.000000
50.77,-0.0400,0.3600,-0.0400,0.3600,-0.0073,0.1618,-0.1897,-0.4415,-0.1897,-0.4415,-0.0606,-0.2377,-19.90,0.111111
51.27,-0.0100,0.1900,0.0000,0.1900,0.0042,0.3559,-0.1893,-0.3005,-0.1893,-0.3005,0.0260,-0.0809,-17.93,0.052632
51.77,0.0100,0.1200,0.0000,0.1200,0.0085,0.2629,-0.1815,-0.1539,-0.1816,-0.1567,0.0936,-0.0283,-20.47,0.083333
52.28,0.0000,-0.0200,0.0000,-0.0200,-0.0005,-0.0176,-0.1795,-0.0775,-0.1794,-0.0769,0.1420,0.0797,-15.73,0.000000
52.79,-0.0300,-0.0100,-0.0300,0.0000,-0.0300,-0.0114,-0.1886,-0.0865,-0.1878,-0.0862,0.1467,0.0946,-17.54,0.000000
53.29,-0.0200,0.0100,-0.0200,0.0000,-0.0200,-0.0000,-0.1993,-0.0874,-0.1990,-0.0874,0.1356,0.0802,-19.63,0.000000
53.79,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2007,-0.0874,-0.2007,-0.0874,0.1356,0.0802,-19.63,0.000000
54.29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2007,-0.0874,-0.2007,-0.0874,0.1356,0.0802,-19.63,0.000000
54.79,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2007,-0.0874,-0.2007,-0.0874,0.1330,0.0750,-20.78,0.000000
55.30,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2007,-0.0874,-0.2007,-0.0874,0.1330,0.0750,-20.78,0.000000
55.80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2007,-0.0874,-0.2007,-0.0874,0.1330,0.0750,-20.78,0.000000
56.31,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,-0.2007,-0.0874,-0.2007,-0.0874,0.1330,0.0750,-20.78,0.000000
56.81,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,-0.2007,-0.0874,-0.2007,-0.0874,0.1330,0.0750,-20.78,0.000000
57.31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2007,-0.0874,-0.2007,-0.0874,0.1330,0.0750,-20.78,0.000000
57.81,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2007,-0.0874,-0.2007,-0.0874,0.1330,0.0750,-20.78,0.000000
58.31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2007,-0.0874,-0.2007,-0.0874,0.1330,0.0750,-20.78,0.000000
58.82,0.0200,0.0100,0.0000,0.0000,0.0014,-0.0000,-0.2005,-0.0874,-0.2007,-0.0874,0.1330,0.0750,-20.78,0.000000
59.32,0.0300,0.0100,0.0300,0.0000,0.0279,-0.0006,-0.1888,-0.0866,-0.1888,-0.0866,0.1330,0.0750,-20.78,0.000000
59.83,0.0300,0.0000,0.0300,0.0000,0.0308,0.0106,-0.1741,-0.0826,-0.1746,-0.0828,0.1410,0.0683,-19.82,0.000000
60.33,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.1678,-0.0803,-0.1678,-0.0803,0.1410,0.0683,-19.82,0.000000
60.83,0.0100,0.0100,0.0000,0.0000,0.0000,-0.0000,-0.1678,-0.0803,-0.1678,-0.0803,0.1410,0.0683,-19.82,0.000000
61.34,0.0000,0.0100,0.0000,0.0000,-0.0000,0.0000,-0.1664,-0.0769,-0.1664,-0.0769,0.1410,0.0683,-19.82,0.000000
61.84,0.0000,0.0100,0.0000,0.0000,-0.0000,-0.0000,-0.1664,-0.0768,-0.1664,-0.0768,0.1410,0.0683,-19.82,0.000000
62.35,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,-0.1664,-0.0733,-0.1664,-0.0733,0.1410,0.0683,-19.82,0.000000
62.85,0.0000,0.0200,0.0000,0.0200,-0.0000,-0.0000,-0.1624,-0.0733,-0.1624,-0.0733,0.1410,0.0683,-19.82,0.000000
63.36,0.0100,0.0200,0.0000,0.0200,0.0000,0.0198,-0.1624,-0.0666,-0.1624,-0.0666,0.1410,0.0683,-19.82,0.000000
63.86,0.0100,0.0200,0.0000,0.0200,0.0000,0.0198,-0.1624,-0.0629,-0.1624,-0.0629,0.1591,0.0922,-19.94,0.000000
64.37,0.0100,0.0000,0.0000,0.0000,0.0002,0.0003,-0.1588,-0.0571,-0.1588,-0.0571,0.1591,0.0922,-19.94,0.000000
64.87,0.0100,-0.0100,0.0200,0.0000,0.0199,0.0002,-0.1530,-0.0594,-0.1530,-0.0594,0.1591,0.0922,-19.94,0.000000
65.37,0.0400,-0.0200,0.0300,-0.0200,0.0258,0.0103,-0.1433,-0.0575,-0.1433,-0.0575,0.1591,0.0922,-19.94,0.000000
65.87,0.0400,-0.0300,0.0300,-0.0300,0.0351,-0.0050,-0.1276,-0.0546,-0.1276,-0.0546,0.1777,0.0946,-20.86,0.000000
66.38,0.0300,-0.0300,0.0300,-0.0300,0.0321,-0.0226,-0.1103,-0.0630,-0.1108,-0.0626,0.2006,0.0831,-21.64,0.000000
66.88,0.0200,-0.0300,0.0200,-0.0300,0.0276,-0.0278,-0.0958,-0.0751,-0.0958,-0.0751,0.2075,0.0513,-22.04,0.000000
67.38,0.0100,-0.0200,0.0000,-0.0200,0.0000,-0.0200,-0.0880,-0.0888,-0.0880,-0.0886,0.2075,0.0513,-22.04,0.000000
67.88,0.0100,-0.0200,0.0000,-0.0200,0.0000,-0.0200,-0.0880,-0.0988,-0.0880,-0.0984,0.2019,0.0249,-21.91,0.000000
68.39,0.0000,-0.0200,0.0000,-0.0200,0.0000,-0.0200,-0.0880,-0.1090,-0.0880,-0.1084,0.2019,0.0249,-21.91,0.000000
68.89,0.0000,-0.0200,0.0000,-0.0200,0.0000,-0.0200,-0.0880,-0.1187,-0.0880,-0.1187,0.1924,0.0041,-22.30,0.000000
69.40,0.0100,-0.0100,0.0000,-0.0200,0.0000,-0.0200,-0.0880,-0.1291,-0.0880,-0.1286,0.1924,0.0041,-22.30,0.000000
69.90,0.0100,-0.0100,0.0000,0.0000,0.0000,-0.0000,-0.0880,-0.1293,-0.0880,-0.1293,0.1924,0.0041,-22.30,0.000000
70.40,0.0100,-0.0100,0.0000,0.0000,0.0000,-0.0000,-0.0880,-0.1293,-0.0880,-0.1293,0.1924,0.0041,-22.30,0.000000
70.90,0.0100,-0.0100,0.0000,0.0000,0.0000,-0.0000,-0.0880,-0.1293,-0.0880,-0.1293,0.1924,0.0041,-22.30,0.000000
71.40,0.0100,-0.0100,0.0000,0.0000,0.0000,-0.0000,-0.0880,-0.1293,-0.0880,-0.1293,0.1924,0.0041,-22.30,0.000000
