elapsed_s,fc_vx,fc_vy,odom_vx,odom_vy,filt_vx,filt_vy,tf_px,tf_py,dir_flag
5.68,-0.0200,-0.0000,-0.0200,0.0000,-0.0200,-0.0000,-0.0009,-0.0004,0
5.88,-0.0000,0.0200,0.0000,0.0200,-0.0003,0.0180,-0.0023,-0.0002,0
6.08,0.0400,0.0200,0.0400,0.0200,0.0299,0.0200,-0.0003,0.0036,0
6.29,0.0200,0.0100,0.0200,0.0000,0.0200,0.0000,0.0059,0.0065,0
6.49,0.0300,-0.0000,0.0300,0.0000,0.0300,0.0000,0.0106,0.0065,0
6.69,0.0300,0.0100,0.0300,0.0000,0.0300,-0.0000,0.0173,0.0064,0
6.90,0.0400,-0.0000,0.0400,0.0000,0.0400,-0.0000,0.0239,0.0064,0
7.10,0.0300,-0.0000,0.0300,0.0000,0.0300,-0.0000,0.0312,0.0064,0
7.30,0.0300,-0.0000,0.0300,0.0000,0.0300,-0.0000,0.0372,0.0064,0
7.50,0.0100,-0.0000,0.0000,0.0000,0.0020,-0.0000,0.0419,0.0063,0
7.70,-0.0000,0.0100,0.0000,0.0000,0.0000,-0.0000,0.0419,0.0063,0
7.90,0.0100,-0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0419,0.0063,0
8.10,0.0100,-0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0419,0.0063,0
8.30,0.0200,0.0100,0.0200,0.0000,0.0200,-0.0000,0.0426,0.0063,0
8.51,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0468,0.0074,0
8.71,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0510,0.0116,0
8.91,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0546,0.0152,0
9.12,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,0.0572,0.0169,0
9.32,0.0100,0.0100,0.0000,0.0000,0.0000,-0.0000,0.0572,0.0169,0
9.52,0.0200,0.0200,0.0200,0.0200,0.0193,0.0200,0.0578,0.0190,0
9.72,0.0300,0.0200,0.0300,0.0200,0.0295,0.0200,0.0624,0.0228,0
9.93,0.0600,0.0100,0.0600,0.0000,0.0539,0.0061,0.0704,0.0265,0
10.14,0.1200,-0.0000,0.1200,0.0000,0.1157,0.0002,0.0866,0.0265,0
10.34,0.1800,-0.0000,0.1800,0.0000,0.1742,0.0008,0.1162,0.0265,0
10.54,0.2600,-0.0000,0.2500,0.0000,0.2425,-0.0003,0.1595,0.0264,0
10.74,0.3300,-0.0000,0.3200,0.0000,0.3076,-0.0000,0.2103,0.0262,0
10.94,0.3300,-0.0200,0.3300,-0.0200,0.3362,-0.0007,0.2802,0.0263,0
11.16,0.2900,-0.0700,0.2900,-0.0700,0.2999,0.0024,0.3441,0.0269,1
11.36,0.2500,-0.0600,0.2500,-0.0600,0.2615,-0.0044,0.4061,0.0269,0
11.56,0.1900,-0.0200,0.2000,-0.0300,0.2107,-0.0035,0.4456,0.0263,0
11.76,0.1400,-0.0100,0.1400,0.0000,0.1541,-0.0000,0.4861,0.0255,0
11.96,0.1000,-0.0000,0.1000,0.0000,0.1145,-0.0001,0.5150,0.0252,0
